,smiles,mu,alpha,homo,lumo,gap,r2,zpve,u298,cv,u298_atom,smiles,scaled mu,scaled alpha,scaled homo,scaled lumo,scaled gap,scaled r2,scaled zpve,scaled u298,scaled cv,scaled u298_atom
0,C,0.0,13.21,-0.3877,0.1171,0.5048,35.3641,0.044749000000000004,-40.476062,6.468999999999999,-398.64329,C,-1.478134836122056,-2.7829841168228255,-4.160435482480147,1.6032171698321311,3.4632129397508065,-2.518375932405544,-1.3343215192644824,3.584314423833571,-2.647336232629934,2.2964732859967496
1,N,1.6256,9.46,-0.257,0.0829,0.3399,26.1563,0.034358,-56.523026,6.316,-278.6202711,N,-0.35536824308570664,-3.1846201278635964,0.3635829337745955,0.966369613519888,0.694912292301496,-2.5849026461371114,-1.675973177007931,3.2519935652661616,-2.684633530954867,2.7846195103075257
2,O,1.8511,6.31,-0.2928,0.0687,0.3615,19.0002,0.021375,-76.40186700000001,6.002000000000001,-213.97429390000002,O,-0.19962029357186756,-3.521994377137844,-0.8755896699126257,0.7019475287352724,1.0575277803846075,-2.6366057474354094,-2.1028486916343563,2.84031734361794,-2.7611783131380614,3.047541489576792
3,C#C,0.0,16.28,-0.2845,0.0506,0.3351,59.5248,0.026841000000000004,-77.305527,8.574,-387.2376864,C#C,-1.478134836122056,-2.4541781024507814,-0.5882954629125147,0.3649024770027695,0.6143310727274717,-2.3438139336160098,-1.9231289378834482,2.821603207594888,-2.1341936641725288,2.342861073809054
4,C#N,2.8937,12.99,-0.3604,0.0191,0.3796,48.7476,0.016600999999999998,-93.40937,6.278,-302.90675189999996,C#N,0.5204808690140686,-2.806546762803884,-3.2154798377689424,-0.22166764065324399,1.3613861291949927,-2.421679623490665,-2.2598157798902725,2.4881044266420074,-2.6938969122381833,2.685843841998485
5,C=O,2.1089,14.18,-0.267,-0.0406,0.2263,59.9891,0.026602999999999998,-114.480746,6.412999999999999,-360.51270560000006,C=O,-0.021563435990192382,-2.679094268633613,0.017445334979282016,-1.3333576731632124,-1.2121765709504235,-2.3404593480271,-1.9309542765941536,2.0517316795281793,-2.6609875313632427,2.4515543777424207
6,CC,0.0,23.95,-0.3385,0.1041,0.4426,109.5031,0.074542,-79.760666,10.097999999999999,-675.7104763,CC,-1.478134836122056,-1.6326985812020585,-2.4574384964072076,1.3611406133391732,2.419014636104068,-1.982718768984895,-0.3547403587264638,2.770759079049306,-1.7626833200732013,1.1696119379628236
7,CO,1.5258,16.97,-0.2653,0.0784,0.3437,83.794,0.051208000000000004,-115.675816,8.751,-484.35537180000006,CO,-0.4242979342674411,-2.3802770764192798,0.07628872677448646,0.8825738824261717,0.7587057577975993,-2.1684680180993667,-1.1219523481197484,2.0269826560712714,-2.091045809247607,1.9478732466714064
8,CC#C,0.7156,28.78,-0.2609,0.0613,0.3222,177.1963,0.05541,-116.60555,12.482000000000001,-673.980434,CC#C,-0.9838854672878953,-1.1153913989815454,0.22858927024442285,0.5641501042700503,0.3977690451222797,-1.493632761689589,-0.9837923764290575,2.0077285466260637,-1.1815280311409186,1.1766482017094184
9,CC#N,3.8266,24.45,-0.3264,0.0376,0.364,160.7223,0.045286,-132.714563,10.287,-592.893721,CC#N,1.1648146255615652,-1.579147113063289,-2.0386120018648786,0.1228259205098116,1.0994971655794121,-1.6126580535088986,-1.3166651878037732,1.6741226987639037,-1.7166101868482841,1.5064363803062284
10,CC=O,2.5682,25.11,-0.254,-0.0198,0.2342,166.9728,0.055354999999999994,-153.783728,11.219000000000001,-649.1122522999999,CC=O,0.29566509266482427,-1.5084591751201133,0.46742421341318957,-0.9460351827744797,-1.0795533137348412,-1.5674979474923516,-0.9856007530218678,1.2377957398389376,-1.4894135722153616,1.2777897086768737
11,C(=O)N,3.7286,21.57,-0.2543,0.0302,0.2845,145.3078,0.045279,-169.85690300000002,10.89,-545.5368718,C(=O)N,1.097128155262868,-1.8876035695426008,0.4570400854493294,-0.014971503955410614,-0.23512928361537344,-1.724028416550585,-1.3168953448246763,0.9049320706798228,-1.56961495227355,1.6990416600609008
12,CCC,0.0597,34.75,-0.32299999999999995,0.0949,0.4179,227.1361,0.103182,-119.047927,14.84,-954.4449541000001,CCC,-1.4369013435013192,-0.47598686940463847,-1.9209252182744696,1.1898248964364646,2.0043571103793987,-1.1328157610584162,0.5869306525113727,1.9571487097431932,-0.6067108451919586,0.03596954027684157
13,CCO,1.4131,27.87,-0.2619,0.0798,0.3417,193.1659,0.07975399999999999,-154.968412,13.546,-766.4376101,CCO,-0.5021373751109429,-1.2128550709941057,0.19397551036489152,0.9086436654331057,0.7251302496417557,-1.378251779521467,-0.1833720168768968,1.2132618028268602,-0.9221533552080549,0.8006151554047353
14,COC,1.1502,28.13,-0.2525,0.091,0.3435,187.1015,0.07953400000000001,-154.956045,12.934000000000001,-758.6772063,COC,-0.6837166918612237,-1.185008307561946,0.5193448532324866,1.117201929488577,0.7553482069820153,-1.4220673057876454,-0.19060552324813665,1.213517914329192,-1.0713425485077845,0.8321775327621426
15,C1CC1,0.0005,30.82,-0.2888,0.1042,0.39299999999999996,155.8145,0.081231,-117.821426,11.040999999999999,-810.8790525000001,C1CC1,-1.4777894969878789,-0.8969014089753662,-0.7371346303945002,1.3630027406968115,1.5863420338391447,-1.6481170997144834,-0.13480888546634198,1.9825486461644244,-1.5328052003319503,0.6198671413212063
16,C1CO1,1.7675,24.04,-0.2682,0.1042,0.3724,129.891,0.057289,-153.73941000000002,9.176,-621.3023085,C1CO1,-0.25736099680626634,-1.62305931693708,-0.02409117687615483,1.3630027406968115,1.2405142998339558,-1.8354153971818785,-0.9220116561037819,1.2387135331243206,-1.987442202789461,1.3908956710887628
17,CC(=O)C,2.7362,35.53,-0.2431,-0.0087,0.2344,292.4367,0.08338200000000001,-193.082969,16.893,-935.3642879,CC(=O)C,0.4116990417483054,-0.39244657910815806,0.8447141961000807,-0.7393390460766464,-1.0761957629192567,-0.6610163819776835,-0.06408492090025959,0.42393727351673915,-0.10624448270119707,0.11357261382246372
18,CC(=O)N,3.6367,31.83,-0.2436,0.0347,0.2783,267.6148,0.07318999999999999,-209.15402,16.561,-830.4560783,CC(=O)N,1.0336548224011304,-0.7887274433350522,0.827407316160315,0.0688242271383056,-0.33921335889848847,-0.8403555765272593,-0.3991935433351775,0.09111759084027617,-0.18717718233438418,0.5402453211479713
19,C(=O)(N)N,3.4869,28.07,-0.2495,0.0556,0.3051,244.2308,0.063824,-225.217075,15.292,-720.5303067000001,C(=O)(N)N,0.9301912178016931,-1.1914344837385982,0.6231861328710806,0.45800884488467636,0.11069845038981635,-1.009305887556926,-0.7071436373035281,-0.2415365005389725,-0.4965253625588246,0.9873249801398571
20,CC(C)C,0.0897,45.46,-0.3167,0.0843,0.401,355.0621,0.131146,-158.336603,20.273,-1234.0673570000001,CC(C)C,-1.4161809954506974,0.6710855781278029,-1.7028585310334232,0.992439396526822,1.7206440664625204,-0.20854542712148735,1.506375071444853,1.1435090368245797,0.7177089051306456,-1.1012841420527706
21,CC(C)O,1.4259,38.58,-0.2612,0.07400000000000001,0.3351,318.3721,0.107673,-194.261748,19.052,-1048.984205,CC(C)O,-0.49329669327601117,-0.06578262346166479,0.21820514228056462,0.8006402786900939,0.6143310727274717,-0.47363210654667004,0.7345928212079206,0.3995256247250276,0.42006183810618397,-0.3485315229271608
22,C#CC#C,0.0,38.52,-0.2599,-0.0214,0.2386,278.6264,0.037354000000000005,-153.455442,15.312000000000001,-675.3929568,C#CC#C,-1.478134836122056,-0.0722087996383166,0.2632030301239542,-0.9758292204966899,-1.0056871957919848,-0.7607963375204908,-1.5774659720614028,1.2445943021947612,-0.4916498987254998,1.1709033231195258
23,C#CC#N,3.792,32.66,-0.3102,-0.0543,0.2559,260.1896,0.027259,-169.553764,12.93,-587.5975451,C#CC#N,1.140917157476515,-0.6998320062246951,-1.4778690918164696,-1.5884691211596373,-0.7152590502439371,-0.894002935809567,-1.9093852757780916,0.9112098571038013,-1.0723176412744497,1.5279764839677163
24,C(#N)C#N,0.0023,27.7,-0.3696,-0.0926,0.27699999999999997,242.9308,0.015951,-185.644825,10.398,-495.2457905,C(#N)C#N,-1.4765462761048418,-1.2310625701612876,-3.5339264286606302,-2.301663899135044,-0.36103743919978726,-1.018698438204316,-2.2811875032598463,0.577975781998968,-1.6895513625733334,1.9035807699591043
25,C#CC=O,2.7824,31.14,-0.2777,-0.0735,0.2042,268.3921,0.037208,-190.620363,13.049000000000001,-642.2058883,C#CC=O,0.4436083777462625,-0.8626284693665538,-0.35292189573170263,-1.9459975738261597,-1.583185936072496,-0.8347395537440159,-1.5822663899259535,0.47493603815740587,-1.0433086314661686,1.3058786164648433
26,C(=O)C#N,2.3112,26.25,-0.3166,-0.11,0.2066,251.0007,0.026539999999999998,-206.717875,11.329,-553.9021943,C(=O)C#N,0.11816077769783244,-1.3863618277637189,-1.6993971550454705,-2.62567405936408,-1.5428953262854834,-0.960393096304799,-1.933025689782282,0.14156836757254185,-1.462598521132077,1.6650190148138313
27,C(=O)C=O,0.002,26.12,-0.2668,-0.1113,0.1555,266.8164,0.036943000000000004,-227.79457000000002,12.147,-614.8458684,C(=O)C=O,-1.476753479585348,-1.4002852094797988,0.02436808695518944,-2.6498817150133758,-2.4007495596672888,-0.8461240476325488,-1.5909794771458565,-0.2949145321313169,-1.2631920503491043,1.4171546911183255
28,CC#CC,0.0,42.32,-0.2412,0.0684,0.3096,400.2236,0.083896,-155.90318,17.447,-959.2215526000001,CC#CC,-1.478134836122056,0.3347823582163308,0.9104803398711906,0.696361146662358,0.18624334374046464,0.11774816984935987,-0.04718481965108936,1.193903442932656,0.028805865481891603,0.01654261247421565
29,CCC#C,0.7067,40.09,-0.2592,0.0566,0.3157,333.9589,0.084338,-155.892291,17.13,-952.3886071000001,CCC#C,-0.9900325038762463,0.09594281031741946,0.2874326620396273,0.47663011846105774,0.2886486436157877,-0.36101686929225607,-0.03265204775977924,1.1941289461386793,-0.04847023627630199,0.044332919511279635
30,CCC#N,3.9233,35.38,-0.3213,0.034,0.3553,314.5335,0.07418999999999999,-172.001467,14.988,-871.4041779999999,CCC#N,1.2316032141114022,-0.4085120195497887,-1.8620818264792671,0.055789335634838656,0.9534437051014926,-0.5013661410967246,-0.36631396892044854,0.8605197226660335,-0.5706324128253574,0.3737050987435488
31,C(C#N)N,4.4361,31.81,-0.2683,0.0173,0.2855,295.6635,0.063305,-188.037478,14.488,-744.5080531000001,C(C#N)N,1.5857830301233606,-0.7908695020606029,-0.027552552864107585,-0.25518593309073045,-0.2183415295374516,-0.6377026262630696,-0.7242081364247727,0.5284256926977217,-0.6925190086584702,0.889804967063088
32,C#CCO,1.7211,33.1,-0.2595,0.0277,0.2872,300.0993,0.060632000000000005,-191.806025,15.855,-760.1449498,C#CCO,-0.2894084684578944,-0.6527067142625774,0.27704853407576713,-0.06152468789636411,-0.1898023476049839,-0.605653798446383,-0.8120952388353428,0.4503818474824125,-0.3592810556507394,0.8262080657853236
33,C(C#N)O,4.6788,28.56,-0.3018,0.0022,0.3039,280.6659,0.050262,-207.912215,13.845,-677.2867789,C(C#N)O,1.7534106458528895,-1.1389540449626043,-1.1871135088284077,-0.5363671640940892,0.09055314549631051,-0.7460608705625276,-1.153056425516082,0.11683446188038703,-0.8492651708998531,1.1632009497239564
34,CCC=O,2.6741,35.83,-0.25,-0.0205,0.2295,333.3276,0.084175,-193.07011599999998,15.954,-927.2989147,CCC=O,0.36880792128351864,-0.3603156982248967,0.605879252931315,-0.9590700742779467,-1.1584557579010735,-0.3655780363874079,-0.03801141838937994,0.4242034497227286,-0.33514750967578305,0.14637533376169162
35,CNC=O,3.7071,32.78,-0.2516,0.0335,0.2851,279.7863,0.074166,-209.139976,15.058,-821.6433419,CNC=O,1.082278572493256,-0.6869796538713899,0.5504972371240652,0.04647869884664796,-0.2250566311686196,-0.7524160148313311,-0.3671030787064019,0.09140843178300682,-0.5535682894087215,0.5760876457198132
36,COC=O,3.92,29.47,-0.2814,0.0074,0.2888,293.91700000000003,0.061327,-229.00900299999998,13.885,-750.8389913999999,COC=O,1.2293239758258339,-1.0414903729500438,-0.4809928072859679,-0.4395365414969061,-0.16294194108030913,-0.6503211568058899,-0.7892439346171065,-0.32006454912098425,-0.8395142432332042,0.8640563760360263
37,C(C=O)O,1.7341,28.53,-0.2537,-0.0341,0.2196,303.8129,0.060508000000000006,-228.987769,14.78,-737.5144652,C(C=O)O,-0.28042965096929184,-1.1421671330509302,0.4778083413770497,-1.2123193949167332,-1.3246545232724998,-0.5788228937662697,-0.8161723060627692,-0.3196248085500689,-0.6213372366919323,0.9182486236137947
38,CCCC,0.0,45.71,-0.317,0.0937,0.4107,426.2996,0.131708,-158.33517,19.668,-1233.168137,CCCC,-1.478134836122056,0.6978613121971876,-1.7132426589972836,1.167479368144807,1.883485281018362,0.3061482857580835,1.52485339226593,1.1435387132038826,0.5702261241725789,-1.0976269198644952
39,CCCO,1.3402,38.61,-0.2619,0.081,0.3429,382.8628,0.108241,-194.255495,18.430999999999997,-1045.060391,CCCO,-0.5524878208739534,-0.0625695353733385,0.19397551036489152,0.9309891937247635,0.7452755545352615,-0.007684286519261203,0.7532684194754865,0.3996551197702354,0.2686786860814573,-0.33257295925702335
40,CCOC,1.0363,39.34,-0.2503,0.0925,0.3428,368.9331,0.107895,-194.24858500000002,17.887999999999998,-1040.7243039999998,CCOC,-0.7623849466267504,0.015615608109265303,0.5954951249674548,1.1451338398531492,0.7435967791274695,-0.10832691171383627,0.7418920867279903,0.39979822080372013,0.13630984300669688,-0.3149376379933861
41,C(CO)O,0.0075,31.42,-0.2594,0.0584,0.3179,297.8398,0.085172,-230.177723,16.837,-858.1467954,C(CO)O,-1.4729547491094008,-0.8326396472088428,0.2805099100637199,0.5101484108985443,0.3255817025872163,-0.6219787739754427,-0.005230482697895271,-0.34426788339810394,-0.11989578143450594,0.4276242662477861
42,CC1CC1,0.1136,41.96,-0.2727,0.1012,0.3738,298.6061,0.10928399999999999,-157.11209,16.49,-1091.748943,CC1CC1,-1.3996737848370355,0.2962253011564169,-0.1798530963340459,1.3071389199676673,1.2640171555430466,-0.6164422266207543,0.7875618155900485,1.168867803223442,-0.20448507894268658,-0.5224602041056644
43,CC1CO1,1.8119999999999998,35.01,-0.2633,0.1052,0.3685,267.2979,0.085275,-193.035186,14.764000000000001,-905.3800252999998,CC1CO1,-0.22662581386451114,-0.4481401059724786,0.14551624653354917,1.3816240142731928,1.1750420589300605,-0.8426451913735344,-0.0018438865331779988,0.42492682441153273,-0.6252376077585915,0.23552175917038923
44,CN1CC1,1.1353,39.02,-0.2304,0.0968,0.3271,270.5508,0.09767100000000001,-173.143343,15.298,-961.8671304999999,CN1CC1,-0.694007798059699,-0.018657331499547167,1.284308946570129,1.2252053162315892,0.4800290401040969,-0.8191428621420772,0.40573131791180195,0.8368723079464941,-0.49506272340882723,0.00578276928046194
45,C1CC1O,1.3894,34.64,-0.239,0.0775,0.3166,263.966,0.085106,-193.030356,15.679,-902.3491569,C1CC1O,-0.5185064500709341,-0.4877681923951677,0.9866306116061597,0.8658147362074285,0.3037576222859176,-0.866718298682795,-0.007400534609267269,0.4250268501701049,-0.4021851373839952,0.24784861929607424
46,C1CCC1,0.0,41.83,-0.2982,0.0956,0.3938,268.4432,0.11051099999999998,-157.111322,14.696,-1091.267016,C1CCC1,-1.478134836122056,0.28230191944033656,-1.0625039732620953,1.2028597879399316,1.5997722371014826,-0.8343703542531842,0.8279050533969206,1.168883707940333,-0.6418141847918952,-0.5205001563781577
47,C1COC1,1.7978,34.56,-0.2424,0.0859,0.3283,236.9759,0.086675,-193.029968,12.915,-902.1056833999999,C1COC1,-0.23643344527513854,-0.4963364272973706,0.8689438280157528,1.0222334342490322,0.5001743449976027,-1.0617228227044255,0.04418751764744245,0.42503488536561784,-1.0759742391494433,0.24883885159346242
48,CC(=NO)C,0.6875,45.37,-0.2392,0.0192,0.2584,452.5112,0.100501,-248.368823,21.616,-1063.722509,CC(=NO)C,-1.0032935266286442,0.661446313862824,0.9797078596302533,-0.21980551329560585,-0.6732896650491325,0.49552811694971916,0.4987805135054843,-0.7209922264131192,1.0450963015383867,-0.4084737533116391
49,c1cc[nH]c1,1.8689,43.14,-0.2029,0.0499,0.2528,303.9808,0.082433,-210.09781600000002,14.821,-1028.905172,c1cc[nH]c1,-0.1873262203951654,0.4226067659639127,2.23618734325724,0.3518675854993025,-0.7673010878854946,-0.5776098097249647,-0.09528763701983753,0.07157226768553529,-0.611342535833617,-0.266867986743924
50,c1cnc[nH]1,3.6193,39.13,-0.2253,0.0332,0.2585,283.6817,0.071145,-226.157088,13.370999999999999,-916.6055338,c1cnc[nH]1,1.02163702053177,-0.006876008509017951,1.4608391219557384,0.04089231677373351,-0.6716108896413404,-0.7242715980683752,-0.46643227301329787,-0.2610034805374647,-0.9648136637496445,0.189866437045813
51,c1ccoc1,0.5571,39.2,-0.2246,0.0199,0.2445,289.005,0.069883,-229.965414,13.357999999999999,-957.2041111,c1ccoc1,-1.0933579728220126,0.0006211970304097998,1.4850687538714107,-0.20677062179213884,-0.9066394467322463,-0.685810548175105,-0.5079262959246857,-0.3398711196762198,-0.9679827152413054,0.024747758953770942
52,c1cocn1,1.5081,35.17,-0.2509,0.001,0.2519,269.2444,0.05859299999999999,-246.02561400000002,12.04,-845.4868013,c1cocn1,-0.4365229396173079,-0.43100363616807197,0.5747268690397364,-0.558712692385747,-0.7824100665556244,-0.8285816530388082,-0.8791366910669756,-0.6724660860987973,-1.2892757818573908,0.4791137919766851
53,CC(C)(C)C,0.0003,56.01,-0.3145,0.0737,0.3882,486.2719,0.15883599999999998,-197.625241,26.084,-1513.665915,CC(C)(C)C,-1.4779276326415498,1.8010215558558378,-1.6267082592984552,0.7950538966171794,1.5057608142651204,0.7394504897507488,2.416810486988696,0.329870150858104,2.134274921903083,-2.2384408446695674
54,CC(C)(C)O,1.3840000000000001,49.04,-0.2601,0.0664,0.3265,449.0573,0.13497699999999999,-233.553779,25.128,-1330.711901,CC(C)(C)O,-0.5222361127200459,1.0545140900013918,0.2562802781480487,0.6591185995095953,0.469956387657344,0.4705735548873961,1.6323367210276787,-0.4141835277836497,1.9012277506701716,-1.4943476534208933
55,CC(=O)C#C,2.8579,42.02,-0.2654,-0.0575,0.2079,416.7799,0.065175,-229.921622,18.723,-929.7242369999999,CC(=O)C#C,0.4957545870069935,0.30265147733306946,0.07282735078653178,-1.6480571966040576,-1.521071245984185,0.23736808237503873,-0.6627233322692296,-0.3389642194651654,0.3398604580479956,0.13651129322736621
56,CC(=O)C#N,3.3351,37.08,-0.3007,-0.0889,0.2118,397.7757,0.05451,-246.02202400000002,16.963,-843.2340439999999,CC(=O)C#N,0.8253462566655481,-0.2264370278779731,-1.1490383729609237,-2.232765186902433,-1.45559900508029,0.10006199698032454,-1.0133839934023134,-0.6723917398310386,-0.08918035928456121,0.4882759925308955
57,C(#N)C(=N)N,5.1815,38.31,-0.2739,-0.0438,0.2301,384.5574,0.056619,-242.190591,17.465,-788.1356162999999,C(#N)C(=N)N,2.100614611354472,-0.09470041625659986,-0.22138960818948275,-1.3929457486076327,-1.1483831054543205,0.004559264501559437,-0.9440409709616502,-0.5930455716646797,0.03319378293188383,0.7123670851705866
58,C#CC(=O)N,3.7167,38.29,-0.2629,-0.0277,0.2352,390.4619,0.054730999999999995,-245.992256,18.527,-824.5543561000001,C#CC(=O)N,1.0889090838694546,-0.09684247498215097,0.15936175048536017,-1.0931432440278925,-1.0627655596569192,0.04721950703810896,-1.0061176074566587,-0.6717752663773784,0.2920809124814158,0.5642482452142399
59,CC(=O)C=O,0.9461,36.51,-0.2538,-0.0964,0.1574,399.222,0.064992,-267.097658,17.805999999999997,-903.5119311000001,CC(=O)C=O,-0.8246841264322861,-0.28748570155617026,0.47434696538909504,-2.372424738725293,-2.368852826919237,0.11051157082749391,-0.6687402943871251,-1.108852667002838,0.11632044129006619,0.24311949449436496
60,C(=O)C(=N)N,2.7707,38.09,-0.2561,-0.064,0.192,384.4827,0.06766799999999999,-263.273589,17.972,-853.0344796,C(=O)C(=N)N,0.4355274420065202,-0.11826306223765828,0.3947353176661741,-1.7690954748505368,-1.787996535823142,0.00401955409128285,-0.5807545532533106,-1.0296590018770848,0.1567867911066606,0.44841659157109365
61,C(=O)C(=O)N,5.1668,33.39,-0.2533,-0.0763,0.177,381.9882,0.054577,-283.16326200000003,17.525,-795.1856799,C(=O)C(=O)N,2.090461640809668,-0.6216468627420912,0.49165384532886075,-1.9981371398400278,-2.03981284699197,-0.014003305593266688,-1.0111810619165267,-1.4415595463031223,0.047820174431857064,0.6836937360161365
62,CC(C)C#C,0.6578,51.2,-0.2589,0.0571,0.316,481.9854,0.112471,-195.180446,22.569000000000003,-1231.684078,CC(C)C#C,-1.0238066711987597,1.2858564323608763,0.29781679000348554,0.48594075524924846,0.29368496983916464,0.7084803602507204,0.8923490192497898,0.38050006274806086,1.2774121531963005,-1.0915910960355018
63,CC(C)C#N,3.9512,46.23,-0.318,0.0365,0.3545,460.694,0.102281,-211.289821,20.467,-1150.824523,CC(C)C#N,1.2508731377984803,0.7535548390615074,-1.7478564188768149,0.10234251957579202,0.9400135018391547,0.5546491657477676,0.5573061559637019,0.046886718131324695,0.7650009043138931,-0.762726792883904
64,CC(N)C#N,2.7429,42.87,-0.2704,0.0278,0.2983,440.0738,0.091554,-227.33225299999998,19.945999999999998,-1027.957633,CC(N)C#N,0.4163265861462775,0.3936889731689769,-0.10024144861112304,-0.05966256053872598,-0.0034582773400516275,0.4056674173944518,0.2046069612169047,-0.2853402860390142,0.6379950714557894,-0.2630142461075333
65,CC(O)C#C,1.3582,44.03,-0.2665,0.0336,0.3001,444.6452,0.088908,-231.102292,21.305999999999997,-1044.530774,CC(O)C#C,-0.5400556120435804,0.5179283792509224,0.03475221491904769,0.04834082620428602,0.02675968000020713,0.43869596049405046,0.1176076073155321,-0.3634150294803671,0.9695266121218562,-0.33041895129046683
66,CC(O)C#N,3.2689999999999997,39.28,-0.3051,0.0115,0.3166,424.3395,0.07860199999999999,-247.20916200000002,19.252,-962.0993087999999,CC(O)C#N,0.7796924231273448,0.009189431932612726,-1.30133891643086,-0.3631893198337425,0.3037576222859176,0.2919864868935072,-0.22124928660266455,-0.6969764973838067,0.4688164764394289,0.00483847574784952
67,CC(C)C=O,2.6921,46.58,-0.2469,-0.0188,0.2281,482.0475,0.112328,-232.358577,21.434,-1206.7864029999998,CC(C)C=O,0.38124013011389146,0.7910408667586462,0.7131819085578618,-0.9274139091980983,-1.1819586136101643,0.7089290351701071,0.8876472401084835,-0.38943177070352647,1.000729580655134,-0.9903296367191597
68,CC(O)C=O,2.8354,39.16,-0.255,-0.0279,0.2271,432.1489,0.088443,-268.281505,20.344,-1020.3120640000001,CC(O)C=O,0.4802143259690273,-0.003662920420692425,0.4328104535336582,-1.0968674987431688,-1.198746367688086,0.3484097061440668,0.10231860521268292,-1.1333692703586151,0.735016801738948,-0.23191891394323402
69,CN(C)C=O,3.7163,44.42,-0.2424,0.0327,0.2751,441.85,0.10227,-248.424309,19.918,-1098.540473,CN(C)C=O,1.088632812562113,0.5596985243991626,0.8689438280157528,0.031581679985542815,-0.39293417194783803,0.4185005315943704,0.55694448064514,-0.7221413007899591,0.6311694220891354,-0.5500820699542108
70,CC(=O)CO,2.9514,39.33,-0.2699,-0.0262,0.2437,440.1727,0.088924,-268.295084,19.824,-1028.833008,CC(=O)CO,0.5603330050980976,0.014544578746489366,-0.08293456867135736,-1.0652113336633207,-0.9200696499945836,0.4063819737475495,0.11813368050616783,-1.1336504814922903,0.6082547420725107,-0.2665744881762827
71,CCC(=O)C,2.6168,46.19,-0.2423,-0.0072,0.2351,489.8518,0.112006,-232.371073,21.715999999999998,-1214.627756,CCC(=O)C,0.3292320565068313,0.749270721610406,0.8724052040037065,-0.7114071357120743,-1.0644443350647113,0.7653154067219728,0.8770600171469407,-0.3896905537012734,1.0694736207050088,-1.02222124297535
72,CCC(=O)N,3.4989999999999997,42.54,-0.2438,0.0355,0.2793,457.44699999999995,0.10184700000000001,-248.44198799999998,21.374000000000002,-1109.634205,CCC(=O)N,0.9385484248487771,0.35834500419738924,0.8204845641844095,0.08372124599941062,-0.32242560482056665,0.5311894642461708,0.5430364206677099,-0.7225074199174532,0.9861031891551607,-0.5952014432123321
73,CC(=O)NC,3.5402,43.61,-0.2418,0.0387,0.2805,458.9803,0.101735,-248.436899,20.967,-1106.4408119999998,CC(=O)NC,0.9670043695049643,0.47294514601435583,0.8897120839434722,0.14330932144383107,-0.3022802999270599,0.5422676164828196,0.5393539083332602,-0.7224020304587843,0.886887500147006,-0.5822135784679088
74,CNC(=O)N,3.5648,39.51,-0.2436,0.0599,0.3034,428.404,0.091713,-264.498452,20.274,-995.5725213999999,CNC(=O)N,0.983995054906474,0.03382310727644633,0.827407316160315,0.5380803212631164,0.08215926845734958,0.32135265774451993,0.2098348135488468,-1.0550250165193213,0.7179526783223121,-0.13130059570690045
